Date,Open,High,Low,Close,Adj Close,Volume,Adx,Rsi,Sar
2010/1/4,7.622499943,7.660714149,7.585000038,7.643214226,6.59342289,493729600,0,0,0
2010/1/5,7.664286137,7.699643135,7.616071224,7.656428814,6.604822159,601904800,0,0,7.585000038
2010/1/6,7.656428814,7.686786175,7.526785851,7.534643173,6.499764919,552160000,0,0,7.699643135
2010/1/7,7.5625,7.571428776,7.466071129,7.520713806,6.487748623,477131200,0,0,7.699643135
2010/1/8,7.510714054,7.571428776,7.466429234,7.570713997,6.530881882,447610800,0,0,7.690300255
2010/1/11,7.599999905,7.607142925,7.444643021,7.503929138,6.473268032,462229600,0,0,7.68133109
2010/1/12,7.471070766,7.491786003,7.372142792,7.418570995,6.399635315,594459600,0,0,7.667129806
2010/1/13,7.423929214,7.533214092,7.289286137,7.523213863,6.489905357,605892000,0,0,7.643530845
2010/1/14,7.503929138,7.516428947,7.465000153,7.479642868,6.452318192,432894000,0,0,7.608106374
2010/1/15,7.533214092,7.557143211,7.352499962,7.354642868,6.344486713,594067600,0,0,7.57622435
2010/1/19,7.440357208,7.685357094,7.401429176,7.679999828,6.625156879,730007600,0,0,7.289286137
2010/1/20,7.675356865,7.698214054,7.482142925,7.561786175,6.523181438,612152800,0,0,7.297207556
2010/1/21,7.574285984,7.61821413,7.40035677,7.431070805,6.410418034,608154400,0,0,7.313247816
2010/1/22,7.385000229,7.410714149,7.041429043,7.0625,6.092469215,881767600,0,0,7.698214054
2010/1/25,7.232500076,7.310713768,7.149642944,7.252500057,6.256372929,1065699600,0,38.88212121,7.685078354
2010/1/26,7.35535717,7.632500172,7.235000134,7.355000019,6.344796181,1867110000,0,42.49463506,7.672205368
2010/1/27,7.387499809,7.520713806,7.126070976,7.424285889,6.404564381,1722568400,0,44.86687969,7.659589841
2010/1/28,7.318929195,7.339285851,7.096428871,7.117499828,6.139915943,1173502400,0,37.49185227,7.647226625
2010/1/29,7.181428909,7.221428871,6.794642925,6.859285831,5.91716671,1245952400,0,32.63017607,7.635110674
2010/2/1,6.870357037,7,6.83214283,6.954642773,5.999426365,749876400,0,35.93412344,7.601491964
2010/2/2,6.996786118,7.011428833,6.906428814,6.994999886,6.034240723,698342400,0,37.33482757,7.569218002
2010/2/3,6.970356941,7.150000095,6.943571091,7.115356922,6.138066769,615328000,0,41.44641214,7.538234999
2010/2/4,7.026071072,7.084642887,6.841785908,6.858929157,5.916858673,757652000,0,36.02334186,7.508491316
2010/2/5,6.879642963,7,6.816071033,6.980713844,6.021919727,850306800,0,40.03625155,7.47993738
2010/2/8,6.988928795,7.067142963,6.928571224,6.932857037,5.980632305,478270800,0,39.00099208,7.452525602
2010/2/9,7.014999866,7.053571224,6.955357075,7.00678587,6.044406891,632886800,0,41.51682366,7.426210295
2010/2/10,6.996070862,7.021429062,6.937857151,6.968571186,6.011442661,370361600,0,40.58501739,7.4009476
2010/2/11,6.960000038,7.133928776,6.93071413,7.095356941,6.120814323,550345600,31.73937562,44.99586193,7.376695413
2010/2/12,7.07535696,7.20142889,6.982142925,7.156428814,6.1734972,655468800,29.98392,47.03555881,7.353413314
2010/2/16,7.212142944,7.274642944,7.197143078,7.264286041,6.266541481,543737600,27.84835262,50.5249466,7.331062498
2010/2/17,7.292500019,7.296785831,7.17357111,7.233929157,6.240353584,436396800,26.01687382,49.5357643,7.309605715
2010/2/18,7.201070786,7.281785965,7.175714016,7.247499943,6.25206089,422825200,24.31621494,50.00697202,7.296785831
2010/2/19,7.209286213,7.257143021,7.182499886,7.202499866,6.213240623,415469600,22.73703169,48.39333017,7.296785831
2010/2/22,7.226428986,7.232142925,7.113928795,7.157856941,6.174727917,390563600,21.80754533,46.78058298,7.281785965
2010/2/23,7.142857075,7.190357208,6.989643097,7.037857056,6.071212769,575094800,21.78567862,42.66470575,7.262300243
2010/2/24,7.079642773,7.19428587,7.065713882,7.166429043,6.182124615,460566400,21.72700245,47.94887932,7.243593951
2010/2/25,7.049285889,7.244999886,7.031785965,7.214285851,6.223407745,665126000,21.17219991,49.80331642,6.794642925
2010/2/26,7.227857113,7.327499866,7.214285851,7.307857037,6.304128647,507460800,19.90732463,53.30618972,6.803650064
2010/3/1,7.348214149,7.482142925,7.337500095,7.463929176,6.438762665,550093600,19.39654337,58.5072252,6.824604057
2010/3/2,7.497499943,7.529643059,7.419285774,7.458929062,6.434449673,566546400,19.22947965,58.28324302,6.864056389
2010/3/3,7.462142944,7.495357037,7.426428795,7.476070881,6.449237347,372052800,19.07434906,58.86465073,6.917303322
